Text,class
This is a good text, 0
testing folder, 0
FUcking bitch, 1
Africans should be baned!!!!!!!, 1
A tutorial for JavaScript, 0
This is a collection with resources about climate change, 0
No name, 0
This is a piece of shit!, 1
My personal resources about primary school edu, 0
This thing really fucked up, 1
motherfucker, 1
A description for test folder, 0
      , 0
In this lesson you will learn about glacier's life cycle and life blooming in and on the glaciers., 0
Open Educational Resources created with the support of the Credit Suisse Foundation, 0
A collection of anonymized educational data sets\nCurrently only dummy data sets are provided for testing. They are all extracted from Graasp activity spaces., 0
A collection of exemplary Open Educational Resources (OERs) selected by Denis Gillet (see the integrated information for attribution), 0
GAME EDUCATOR ESMANOVA ANASTASIIA, 0
Exposition art 2019-20, 0
a template for collections, 0
